edition,series_type,series_name,date,time,title,speaker,speaker_title,institution,description,notes,speaker_bio
Winter/Spring 2022,thursday-series,Music In Detroit and Michigan: The Legend Continues,2022-03-17,10:00 - 11:30am,Modern Opera,Ryan Enbright,,,"Composer Meredith Monk’s opera Atlas is an anomaly. Though operatic in some ways—it prizes the beauty of the human voice—it deviates from convention by conveying its narrative through music and movement, but not words. It was one of many that redefined the experience of opera in the 1980s and ‘90s. This presentation traces the development of Atlas, using the story of its creation as a window into broader transformations in American opera at the end of the twentieth century. Ryan Ebright is a musicologist at Bowling Green State University. His work on 20th-century and contemporary opera has appeared in the New York Times, New Yorker, Cambridge Opera Journal, and American Music. His current book project, Making American Opera after “Einstein,” centers on the efforts of artists and institutions over the last forty years to redefine American opera. As a public scholar, he has given talks for the Los Angeles Philharmonic, Opera Philadelphia, and Toledo Symphony.

**Sponsorship**: “In memory of my parents who instilled in me and my sister a lifelong love of opera.” -Susan Fisher Resources for this lecture series:

Zoom link for the lecture:

6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Music In Detroit and Michigan: The Legend Continues,2022-03-24,10:00 - 11:30am,Music of Arab America,Dr. Christopher Witulsk,,,"The music of Arab American communities over the last 100-plus years shows a constant navigation of tradition and innovation. The first half of this presentation introduces some of the core elements of Arab music with examples and demonstrations before moving to an overview of how these musical ideas evoke both memory and novelty. The musical history shows creativity and adaptation alongside the assertion of a communal identity, forces that can be in tension, especially as musicians target larger audiences. Christopher Witulski is an assistant teaching professor of ethnomusicology at Bowling Green State University. He is the author of two books on music and religion in Morocco (The Gnawa Lions, Indiana University Press and Focus: Music and Religion of Morocco, Routledge Press) and teaches on topics related to Arab music. His recent work is building a collaborative project exploring music within Arab America.

**Sponsorship**: “Dedicated to all those adults and children who, sing, play an instrument and/or support musicians. Music opens the world.” -Linda Grekin Resources for this lecture series:

Zoom link for the lecture:

6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Music In Detroit and Michigan: The Legend Continues,2022-03-31,10:00 - 11:30am,The History and Influence of Motown Music,Mark Clague,,,"More than half a century ago, the Motown sound had its roots in Detroit, the “Motor City.” How did Motown music start and why? What defines Motown music? What are the major characteristics of Motown? What is its relationship to soul music? Professor Clague will discuss the rich history of Motown music and the impact it had on other music genres. Join Professor Clague for a trip down memory lane to hear What’s Going On? Mark Clague is the Associate Dean for Undergraduate Academic Affairs; Director, U-M Gershwin Initiative; Co-Editor-In-Chief, MUSA; Associate Professor of Musicology and Entrepreneurship and Leadership at the University of Michigan. Professor Clague researches music-making in the United States, with recent projects focusing on the “The Star-Spangled Banner” and the music of George and Ira Gershwin. His interests center on questions of how music forges and shapes social relationships in such subjects as American orchestras as institutions, critical editing, the art of sound as simultaneously a transcendent emotional expression and an everyday tool for living.

**Sponsored by the Major Family in memory of Nancy Major - Rock on! Resources for this lecture series:

Zoom link for the lecture:

6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Music In Detroit and Michigan: The Legend Continues,2022-04-07,10:00 - 11:30am,Jazz in Post-WWII Detroit: The Performers and Their Contributions,Dr. Vincent Chandler,,,"Detroit has made significant contributions to jazz music since the early years of the 20th Century, including the contemporary era. However, Detroit is best known for contributing to the development of the bebop style and nurturing many jazz performers who emerged in the 1950s and 1960s to national and international prominence. In this presentation the primary focus will be on some of those performers and the nature of their contributions. Dr. Vincent Chandler is a native Detroiter. He earned two degrees at the University of Michigan: Bachelor of Fine Arts in Music and a Master of Music in Improvisation. He was a 2020 Kresge artist fellow. He is now an assistant professor in Jazz Studies and Jazz Trombone at Wayne State University. He has studied and/or performed with such Detroit jazz artists as Marcus Belgrave, James Carter, Geri Allen, and Rodney Whitaker, as well as here and abroad with Wynton Marsalis, Roy Hargrove, and Ravi Coltrane. He is a notable sideman, composer/arranger, scat singer, and 4 bandleaders.

Resources for this lecture series:

Zoom link for the lecture: 6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-04-14,10:00 - 11:30am,The Indigenous Midwest Prior to European Contact,John N. Low,Ph.D,,"Indigenous people migrated to the Americas more than 15,000 years ago. Their settlements spread over all of North, Central and South America, long before Indigenous or Native Peoples were the original inhabitants of the Great Lakes region, having migrated from other locales many thousands of years ago. Focusing on the Potawatomi, of which he is a member, Professor Low will share his knowledge of Indigenous Peoples who lived in the Great Lakes region of what is now the United States prior to European contact and what their lives were like - beginning with Creation and moving to the 17th Century. He will address such topics as migration, housing, trade, transportation, and interactions with other

tribes. Overall, he will present the incredible history and diversity of the Native Peoples of the Great Lakes region, who were and are Indigenous to these lands. John N. Low received his Ph.D. in American Culture at the University of Michigan and is an enrolled citizen of the Pokagon Band of Potawatomi Indians. He is also the recipient of a graduate certificate in Museum Studies and a Juris Doctorate from the University of Michigan. He earned a BA from Michigan State University, a second BA in American Indian Studies from the University of Minnesota, and an MA in the Social Sciences from the University of Chicago. He is an associate professor in Comparative Studies at the Ohio State University, and also serves as the Director of the Newark Earthworks Center. He is an award-winning author, and his most recent book is Imprints, the Pokagon Band of Potawatomi and the City of Chicago (2016).

*THIS LECTURE WILL NOT BE RECORDED PER SPEAKER REQUEST*

Zoom link for the lecture: 6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-04-28,10:00 - 11:30am,Lessons of the Land in Indigenous Languages of the Great Lakes,Margaret Noodin,PhD,,"This talk will introduce the indigenous view of Great Lakes history through indigenous languages that have been spoken for millennia in the region. These languages have shaped the ways that speakers experience and express their place in nature, their spiritual beliefs, and their relationships to other human and non-human beings. The loss of traditional languages through intentional erasure and forced assimilation has had profound impacts on individual identities and indigenous cultures. Professor Noodin, who is of Anishinaabe descent, is an American poet and Professor of English and American Indian Studies at the University of Wisconsin—Milwaukee where she also serves as Associate Dean of Humanities. She is the director of the Electa Quinney Institute for American Indian Education and is the editor of objiwe.net. Professor Noodin is the author of two collections of bilingual poetry in

Anishinaabemowin and English. She received an MFA in Creative Writing and a PhD in English and Linguistics from the University of Minnesota. At the University of Michigan she served as Director of Comprehensive Studies. With her daughters, both U of Michigan students, she belongs to a women’s hand drum group which sings in Anishinaabemowin.

Zoom link for the lecture: 6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-05-05,10:00 - 11:30am,Historical and Contemporary Issues of American Indians Residing in the Michigan Great Lakes Region: Challenges and Strengths,Sandra Momper,"PhD, MSW",,"This lecture will provide an historical overview of Michigan Indians, both rural and urban, including who they were and who they are in today; the impacts of colonialism on substance misuse, suicide, poverty and other contemporary issues including our tragedy of murdered and missing Indian women; an overview of strengths in the face of overwhelming odds, including Tribal culture and resilience; tribal ways of knowing and healing and the fact that ""we still remain."" Sandra Momper is a citizen of the Bad River Band of Chippewa Indians and an Associate Professor of Social Work at the University of Michigan. She collaborates with American Indian Health and Family Services in Detroit on SAMHSA grants to address suicide prevention/ intervention, and substance misuse among rural and urban American Indians and Alaska Natives. Her 20 years of clinical and community organizing experience with American Indian and African American families informs her research.

Zoom link for the lecture: 6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-05-12,11:00 - 12:30pm,Omission as the Modern Form of Bias Against Indigenous People,Stephanie A. Fryberg,PhD,,"In U.S. culture, Indigenous People loom large in romanticized and stereotyped ways, yet contemporary Indigenous Peoples are largely omitted from the public conscience. In K-12 education, for example, 87% of references to Indigenous Americans portray them in a pre-1900’s context. Utilizing both experimental and national survey studies, I will demonstrate that prevalent representations or lack of representations (omission) of Indigenous Peoples: 1) shape how people think about and act towards contemporary Indigenous Peoples, 2) negatively impact Indigenous Peoples’ well-being and 3) galvanize Indigenous efforts to change the status quo through civic engagement. By making visible the pernicious consequences of and highlighting Indigenous resistance to omission, this research illuminates a path towards creating a more equitable future for Indigenous Peoples. Stephanie A. Fryberg, a member of the Tulalip Tribes of Washington State, is the Diversity and Social Transformation Professor of Psychology at the University of Michigan. As a social and cultural psychologist, her research focuses on how social representations of race, culture, and social class influence the development of self, psychological well-being, physical health, and educational attainment. In addition to publishing articles in leading academic journals, Dr. Fryberg provided testimony to the U.S. Senate Committee on Indian Affairs, received the Society for the

Psychological Study of Social Issues Early Career Award, and was inducted into Stanford University’s Multicultural Alumni Hall of Fame.

*SPONSORSHIP: ""We are celebrating the 80th/90th years of life being seen as women who will not go quietly into the night. Emily, Gwen, Maureen, and Miriam."" ~ Fran Weinstein

Zoom link for the lecture: 6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-05-19,10:00 - 11:30am,Native Americans and the Environment,Frank Ettawageshik,,,"Some call Native Americans the First Environmentalists. For thousands of years, they used natural resources in every aspect of their lives, be it animal skins for clothing or trees for habitat and transportation. They hunted, fished, and farmed. And, in general, they lived very close to nature. They held a deep reverence for a nurturing and healthy environment, viewing humans as only one strand in a complex, interdependent web of life. Frank Ettawageshik will address the Native American perspective on the environment, their philosophy about and approach to environmental issues, both in the past and at present. He will also describe his own experiences in working to protect Michigan’s lakes and rivers as well as his work on United Nations Climate Change initiatives. Frank Ettawageshik is a member of the Little Traverse Bay Bands of Odawa Indians in Harbor Springs, MI. He serves as Executive Director of the United Tribes of Michigan and was chosen by the Native Nations Institute to serve as its 2010 Indigenous Leadership Fellow. He served as the Tribal Chairman of the Little Traverse Bay Bands of Odawa Indians for fourteen years. As Tribal Chairman he was instrumental in the adoption of the Tribal and First Nations Great Lakes Water Accord in 2004 and the United League of Indigenous Nations Treaty in 2007. He is also the Chairman of the United League of Indigenous Nations Governing Board and the Cochair of the National Congress of American Indians Federal Recognition Task Force. In both December 2015 and October-November 2021 he attended the United Nations global climate summit, Council of the Parties 21/26, (UNFCCC COP21/26) as a delegate from the National Congress of American Indians.

Zoom link for the lecture:

6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,thursday-series,Native Americans of the Great Lakes Region,2022-05-26,10:00 - 11:30am,From Encounter to Removal: Indigenous Persistence Strategies in the Western Great Lakes,Susan Sleeper-Smith,PhD,,"This lecture traces the involvement of Europeans in an Indigenous world and discusses the crucial role that women played in that encounter. Indigenous women’s involvement in the fur trade facilitated their role as cultural intermediaries with the French and English in the 17th and 18th centuries, and with the Americans in the early 19th century. This presentation focuses on the persistence strategies that allowed women to commercially exchange peltry for European trade cloth, the changes that both Indigenous people and Europeans experienced, and why and how the U.S. government attempted to remove them, rather unsuccessfully, in the 19th century. Dr. Susan Sleeper-Smith is Professor of History and American Indian and Indigenous Studies at Michigan State University. Her research explores history as a narrative structured by sites of encounter, in which the interaction of diverse people created new processes of social and cultural change. She focuses on Native American women’s involvement in that process and explores how gender affects cultural interaction. Recent publications include Indigenous Prosperity and American Conquest (2018) and Violence in Indigenous Communities (2021). Earlier works include: Indian Women and French Men; New Faces of the Fur Trade; Contesting Knowledge: Museums and Indigenous Perspectives; Rethinking the Fur Trade; and Why You Can’t Teach U.S. History Without American Indians. Her articles appear in numerous journals and edited editions. Dr. SleeperSmith joined the Michigan State department of history in 1994, was promoted to full professor in 2008, and has recently retired.

Zoom link for the lecture:

6963 1204",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,special,Nature and Recreation in Michigan,2022-06-09,10:00 - 11:30am,Michigan’s State Parks: 100 years of making memories,"Craig Kasmer, Hillary Pine and Theresa Neal",,,"What’s your favorite recreational activity? Do you know what’s available in Michigan? This series will be your guide to the many fun-filled activities offered nearby. From fishing to frisbee golf, from swimming to snow skiing, discover the great outdoors in our area parks. Explore Nature and Recreation in Southeast Michigan this June with OLLI-UM.

In 2019, Michigan’s State Parks had their 100th Anniversary. In this paneled presentation, Craig, Hillary, and Theresa will share the history of Michigan’s State Parks, how they were developed by programs like the CCC and specific champions of conservation like P.S. Lovejoy and Genevieve Gillette and a closer look at what unique features people will encounter when visiting our State Parks in the Great Lakes State. Craig Kasmer has worked as the Park Interpreter at Hartwick Pines State Park for 20 years. His degree is in forestry (MSU) but prior to that, he pursued a degree in fine arts/theater (WSU). His educational background has allowed him to bring his enthusiasm and passion of nature to visitors of Michigan State Parks. Hillary Pine has a B.A. in Art History from the University of Michigan and an M.A. in Cultural Heritage & Museum Studies from the University of East Anglia. As a Historian with the DNR and Michigan History Center, Hillary is responsible for the Hartwick Pines Logging Museum, the Higgins Lake Nursery, and the Michigan Civilian Conservation Corps Museum. Hillary especially enjoys giving tours and public programs to share Michigan’s diverse history with the public. Theresa Neal has worked at Tahquamenon Falls State Park as an Interpretive Ranger since 2005. She develops and presents educational, hands-on programs and activities for visitors and organizations yearround. Theresa is a proud graduate of Michigan State University and resides just south of Paradise with her husband and crazy bird-dog.

Resources: 1. Pure Michigan DNR: Michigan Department of Natural Resources (DNR) | Michigan

2.

Huron-Clinton Metroparks: Huron-Clinton Metroparks – 13 PARKS. ENDLESS FUN.

3141 2962",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,special,Nature and Recreation in Michigan,2022-06-16,10:00 - 11:30am,"Management History, Past and Present, of Michigan’s Cervids (Deer, Elk, and Moose)",Chad Stewart,,,"Chad will discuss the history of cervids and cervid management in Michigan. The unique history for these three species will include recent efforts to both grow and reduce populations as the landscape and dynamics of Michigan continue to change. Chad Stewart has been the Deer, Elk, and Moose Management Specialist for the Michigan DNR for over 7 years. Previously, he worked for the Indiana DNR as their statewide Deer Biologist. Chad has also worked for the Smithsonian Conservation Biology Institute, working on various deer research projects and international wildlife projects in China and Malaysia. He is a Certified Wildlife Biologist and holds degrees from the University of Illinois and Penn State University. Resources: 1. Pure Michigan DNR: Michigan Department of Natural Resources (DNR) | Michigan 2. Huron-Clinton Metroparks: Huron-Clinton Metroparks – 13 PARKS. ENDLESS FUN.

3141 2962",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,
Winter/Spring 2022,special,Nature and Recreation in Michigan,2022-06-23,10:00 - 11:30am,The Huron-Clinton Metroparks: Southeastern Michigan Gems,Amy McMillan and Artina Carter,,,"With 13 parks and nearly 25,000 acres of woods, water and recreational facilities, the Huron-Clinton Metroparks are one of the nation’s premier regional park systems. Located along the Huron and Clinton Rivers in five counties, the Metroparks represent a greenbelt encompassing the Detroit metropolitan area … and providing a natural oasis for more than 7 million visitors each year. In the Metroparks, you can picnic, fish, swim, boat, hike, bike, golf, cross-country ski, sled, snowshoe, and, in general, convene with nature. This lecture will describe the Metroparks via photos and videos, review their history, and also discuss major initiatives including diversity, equity and inclusion efforts.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; No printed catalog exists for the Winter/Spring 2022 season — record reconstructed from announcement emails.,"Amy McMillan is Director of the Huron-Clinton Metroparks. Amy is a double alumna of Central Michigan University, where she earned a Bachelor of Arts in recreation and parks administration as well as a Master of Science in administration. She previously served as Director of Parks and Recreation for the City of Ypsilanti, and Director of the Genesee County Parks. At Genesee, she led the Flint Riverfront Restoration Project (rehabilitating the Flint River through downtown). At the Metroparks, she has focused on building a stronger relationship with the City of Detroit, and implementing a Diversity, Equity and Inclusion initiative to create a Metroparks that better reflects the metropolitan community it serves. Artina Carter is the Chief of Diversity, Equity and Inclusion for the HuronClinton Metroparks, and a Lecturer at the University of Michigan-Flint. She has a BA in History from the University of Michigan-Flint and an MBA from the Baker Center for Graduate Studies. Previously, she held administrative positions at the YWCA of Greater Flint, and the Community Foundation of Greater Flint. She is a Robert Wood Johnson Culture of Health Leader Alum, a proud Beecher Buccaneer, and an active member of Shiloh Missionary Baptist Church of Flint. Resources: 1. Pure Michigan DNR: Michigan Department of Natural Resources (DNR) | Michigan 2. Huron-Clinton Metroparks: Huron-Clinton Metroparks – 13 PARKS. ENDLESS FUN.

3141 2962"
Fall 2022,tuesday-distinguished,Distinguished Lecture Series,2022-09-13,10:00 - 11:30am,Taming Corporate Power in the 21st Century,Professor Gerald F. Davis,Professor of Business Administration and Professor of Sociology,University of Michigan,"There is broad consensus in the US that monopolistic corporations have grown too powerful and that we need to revive antitrust to take on the “curse of bigness.” But information and communication technologies have fundamentally altered the operations of our economy in ways that undermine the basic categories we use to understand it. Nationality, industry, firm, size, employee, and other fundamental terms are increasingly perplexing. If we want to understand and tame the new sources of economic power, we need a new diagnosis and a new set of tools.",,"Jerry Davis received his PhD from Stanford and taught at Northwestern and Columbia before moving to the University of Michigan, where he is Gilbert and Ruth Whitaker Professor of Business Administration and Professor of Sociology. His books include Social Movements and Organization Theory (2005); Organizations and Organizing (2007); Managed by the Markets: How Finance Reshaped America (2009); Changing your Company from the Inside Out: A Guide for Social Intrapreneurs (2015); The Vanishing American Corporation (2016); and Taming Corporate Power in the 21st Century (2022)."
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-09-22,,Understanding Eastern Europe,Kevin Deegan-Krause,,,"Beginning in the late 1980’s, the collapse of communism reshaped Eastern Europe, producing new democracies and market economies, and even new countries and borders. This presentation will provide an overview of what happened three decades ago and how different countries in the region have followed different trajectories and how these have recently interacted to produce Russia’s invasion of Ukraine. Kevin Deegan-Krause is Professor of Political Science at Wayne State University in Michigan. His research focuses on political parties and democracy in Europe with emphasis on Europe’s newer democracies and its newer parties. His newest co-authored book is The New Party Challenge: Changing Cycles of Party Birth Death in Central Europe and Beyond (Oxford University Press, 2020). His teaching and civic work focus on ways to build and maintain a healthy democracy.

SPONSORSHIP Lecture sponsored by Peter WK and Katherine Woo, dedicated to the 44 million brave Ukrainian citizens who have sustained catastrophic loss and suffering from the Russian invasion.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-09-29,10:00 - 11:30 AM,Ukraine is not Russia: A Brief Survey of Ukrainian History,Paul Kubicek,,,"This presentation will focus on key points in Ukrainian cultural and political development, emphasizing its complicated relationship with Russia. While Ukraine and Russia have an intertangled history, one longstanding theme is Ukrainian efforts to break free of Russian domination and establish a separate Ukrainian identity. How this history plays into the current conflict will be emphasized throughout the talk.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker taken from the bio paragraph (2022-era announcements print no Speaker line),"Paul Kubicek is Professor of Political Science at Oakland University. He wrote his PhD dissertation on post-Soviet Ukraine and has published extensively on Ukrainian and Russian politics, the European Union, democratization, and Turkey. He has recently updated his book, The History of Ukraine (Bloomsbury/Greenwood). SPONSORSHIP Lecture sponsored by Susan Fisher “In appreciation of OLLI in ensuring that learning never retires.”"
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-10-06,10:00 - 11:30 AM,"A Better Future for Us All: Why the World Needs to Learn About the Ukrainian Identity Today a person can carry many identities at once: European, Ukrainian, American, etc. People did not realize the importance of Ukrainian identity and what it offer to the world. Ukrainians",Dr. Taras K. Oleksyk,,,"were often viewed and treated as Russians. However, Ukrainians are very different. They have been nation building for many years and have no intent of living in a Russian dominated empire, determined to live in a democracy in their own homeland. Since the beginning of the invasion, this identity has become abundantly clear to the world and Russia grossly underestimated Ukraine’s willingness to fight for survival. Dr. Taras K. Oleksyk is faculty at Oakland University in Michigan. He is a native of Ukraine, educated in the US, and has active

research programs. He holds a PhD from the University of Georgia and has tenure at the University of Puerto Rico. His children are Ukrainian born in Puerto Rico and raised in Michigan.

SPONSORSHIP The Alumni Association of the University of Michigan is proud to sponsor this program and support the ongoing education of U-M alumni.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.,
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-10-06,10:00 - 11:30 AM,"From Community Activist to the Federal Bench: My Path to Becoming a Federal Judge In 1980, an activist stands outside the Ann Arbor Federal",Judith E. Levy,,,"Building at a gay pride rally. She was also a union organizer and on weekends she would escort women into abortion clinics while protestors blocked the entrances. That same person, Judge Judith E. Levy, will tell us about her path to the bench and what it is like to sit inside that same Federal Building and be called upon to make decisions that profoundly impact individuals’ lives and liberty, and in some cases, impact all our lives.","Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker taken from the bio paragraph (2022-era announcements print no Speaker line); announced to the Thursday lecture list; the same talk ran as the Tuesday Distinguished lecture of Oct 11, 2022","Judith E. Levy is a judge on the United States District Court for the Eastern District of Michigan. She was nominated for the position by President Barack Obama and confirmed by the Senate on March 12, 2014. She previously served as an Assistant U.S. Attorney in the Eastern District of Michigan since 2000, where she last served as the Civil Rights Unit Chief. Prior to that role, she was a trial attorney with the U.S. Equal Employment Opportunity Commission in Detroit. From 19961999, she served as a law clerk for Judge Bernard A. Friedman, in the Eastern District of Michigan. Judge Levy has taught seminars on fair housing and policing at the University of Michigan Law School since 2002."
Fall 2022,tuesday-distinguished,Distinguished Lecture Series,2022-10-11,10:00 - 11:30am,Finding Catholics In Early America: Lessons From the Archives,Professor Susan Juster,Rhys Isaac Collegiate Professor,University of Michigan,"How do we find people in the past who don’t want to be found? Catholicism in post-Reformation England was a fugitive faith in the century before the first colonial settlements were established in North America. In the early 1600s, English Catholics had lived a twilight existence, scarcely visible in the archives. Their faith was driven underground, their priests were hunted down and executed, their children taken away from them, and their dead denied Christian burial. Men and women who adhered to the old faith learned to live in the shadows. This talk explores some of the evidence available to historians who seek to understand the world colonial Catholics made for themselves, drawing examples from both textual and material sources.",A lecture with this title also appears in the Winter/Spring 2023 catalog dated 2023-02-14; both kept as printed.,"Susan Juster, The Rhys Isaac Collegiate Professor of History, received her Ph.D from the University of Michigan in 1990. She works on early American cultural history, with a focus on religion in a transatlantic context. Her publications include Sacred Violence in Early America (2016), Doomsayers, Anglo-American Prophecy in the Age of Revolution (2003), and Disorderly Women, Sexual Politics and Evangelicalism in Revolutionary New England (1994). She is currently working on a study of the material and ritual lives of English Catholics in the North American and Caribbean colonies from the early 17th through the mid 18th century."
Fall 2022,tuesday-distinguished,Distinguished Lecture Series,2022-10-11,10:00 - 11:30 AM,From Community Activist to the Federal Bench: My Path to Becoming a Federal Judge,Judith E. Levy,,,"In 1980, an activist stands outside the Ann Arbor Federal Building at a gay pride rally. She was also a union organizer and on weekends she would escort women into abortion clinics while protestors blocked the entrances. That same person, Judge Judith E. Levy, will tell us about her path to the bench and what it is like to sit inside that same Federal Building and be called upon to make decisions that profoundly impact individuals’ lives and liberty, and in some cases, impact all our lives.","Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker taken from the bio paragraph (2022-era announcements print no Speaker line); also announced under the title 'Building – Towsley Auditorium'; announced as a speaker change — replaced the lecture printed in the Fall 2022 catalog for Oct 11 (Susan Juster, Finding Catholics In Early America)","Judith E. Levy is a judge on the United States District Court for the Eastern District of Michigan. She was nominated for the position by President Barack Obama and confirmed by the Senate on March 12, 2014. She previously served as an Assistant U.S. Attorney in the Eastern District of Michigan since 2000, where she last served as the Civil Rights Unit Chief. Prior to that role, she was a trial attorney

with the U.S. Equal Employment Opportunity Commission in Detroit. From 1996-1999, she served as a law clerk for Judge Bernard A. Friedman, in the Eastern District of Michigan. Judge Levy has taught seminars on fair housing and policing at the University of Michigan Law School since 2002."
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-10-13,10:00 - 11:30 AM,Considerations for a Post-Conflict Assistance Program in Ukraine,,,,"This lecture will share insights on the design of a development assistance program in Ukraine following the conflict with Russia based on her experience overseeing USAID’s program in Ukraine and on her experience working in post-war Bosnia and Herzegovina. She will describe USAID’s post-Maidan strategy and programming to mitigate the impacts of Russia’s (then) aggression and suggest how these activities could form a basis for a more comprehensive assistance program after the current conflict ends.

Susan Kosinski Fritz retired from the United States Agency for International Development (USAID) Senior Foreign Service as Career Minister in 2020. She served in key positions in Washington, Ukraine and Belarus. Fritz has an MPA and a Master’s Certificate in M&E from American University.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker not named in the announcement email (a former USAID Ukraine program officer),
Fall 2022,thursday-series,Turmoil in Eastern Europe: Ukraine and Beyond,2022-10-20,10:00 - 11:30 AM,"Ukraine and its Culture, the Present Looking Through the Mirror of the Past into the Future",,,,"The culture of Ukraine has evolved over millennia. Influenced by its rich chernozem, (the black earth of the Ukrainian steppe) its climate and geography, Ukraine has been a crossroads between Asia and Europe for thousands of years and its culture bears witness to great empires, invasions, revolutions, colonialization, subjugation, persecution, and genocide. Yet the diverse nature of Ukraine and its peoples have sustained and even thrived. Its rich and diverse culture now faces a 21st century threat that is more violently destructive than ever

before. Yet Ukrainian society continues to write songs, pray in churches, temples, synagogues, and mosques, and create art out of the grotesque violence engulfing the country. Ukraine and its culture, looks through the mirror of the past towards a new future. Andriy Pereklita is a theater and motion picture prop master, with over 40 years’ experience working in the entertainment industry. Born in Toronto to Ukrainian émigré parents, Andriy grew up in the rich Ukrainian milieu of Toronto. He was involved with the Chervona Ruta Ukrainian Music Festival and was the principal director, designer, and producer of the Avant Garde Ukrainian Theatre in Toronto. In Michigan, for over 20 years he has worked in the School of Ukrainian Language and Culture as both a teacher and principal.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker not named in the announcement email,
Fall 2022,thursday-series,Science Pop-Up Talks,2022-10-27,1:00 - 2:30 pm,The 150-Year-Old Human: How Soon? How Desirable?,,,,"Not included in the announcement email — the reminder-email format of this era lists only date, title, series, and venue.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker not named in the announcement email (a Zoom-only Science Pop-Up registration reminder with no description),
Fall 2022,thursday-series,Will Democracy Survive?,2022-11-03,10:00 - 11:30AM,The Four Threats to American Democracy: Should We Be Worried?,Suzanne Mettler,,,"*This speaker will be joining us via Zoom on the big screen at WCC. Regular Zoom viewers will not be affected, and we still welcome you to join us in the Towsley Auditorium at WCC!*

Four threats have imperiled American democracy in periods throughout the nation’s history: polarization, conflict over who belongs, rising economic inequality, and executive aggrandizement. Never before, however, have all four emerged simultaneously as they have now. This presentation will explain what the historical analysis of the threats reveals, how they illuminate the events of January 6, 2021 and the continued denial of the 2020 election results by many Americans, and the implications for the future of democracy.",Record sourced from OLLI announcement emails (BLC-012); not printed in any received catalog.; speaker taken from the bio paragraph (2022-era announcements print no Speaker line),"Suzanne Mettler is the John L. Senior Professor of American Institutions in the Department of Government at Cornell University. She is the author of six books, most recently Four Threats: The Recurring Crises of American Democracy, co-authored with Robert C. Lieberman. She is also co-editor of a new edited volume, Democratic Resilience: Can the United States Withstand Rising Polarization?, and also a recent issue of the journal ANNALS on “Democratic Vulnerabilities.”"
